State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
FL,130.0,415.0,No,No,0.0,207.1,70.0,35.21,200.1,115.0,17.01,194.2,100.0,8.74,12.4,2.0,3.35,1.0,
CT,134.0,408.0,No,No,0.0,177.2,120.0,30.12,228.7,,,,113.0,8.74,8.9,3.0,2.4,2.0,False
KY,108.0,415.0,No,Yes,35.0,169.8,136.0,28.87,173.7,101.0,14.76,214.6,105.0,9.66,9.5,7.0,2.57,2.0,False
NM,103.0,415.0,No,No,0.0,173.5,83.0,29.5,244.3,65.0,18.89,221.6,66.0,,9.7,2.0,2.62,3.0,False
ND,62.0,510.0,No,No,0.0,159.9,100.0,27.18,172.2,99.0,14.64,263.2,109.0,11.84,5.6,4.0,1.51,1.0,False
NV,162.0,415.0,No,No,0.0,115.1,89.0,19.57,196.8,84.0,16.73,212.4,98.0,9.56,11.4,3.0,3.08,2.0,False
ID,42.0,415.0,No,No,0.0,92.2,108.0,15.67,211.2,120.0,17.95,129.1,73.0,5.81,13.1,6.0,3.54,1.0,False
OK,155.0,415.0,No,Yes,23.0,243.9,112.0,41.46,133.0,106.0,11.31,213.7,123.0,9.62,13.4,11.0,3.62,2.0,False
IA,36.0,510.0,No,No,0.0,117.1,78.0,19.91,235.4,117.0,20.01,221.3,108.0,9.96,9.0,2.0,2.43,,False
OH,143.0,415.0,No,No,0.0,223.3,99.0,37.96,167.1,128.0,14.2,,84.0,9.14,4.5,4.0,1.22,0.0,True
IA,81.0,510.0,No,No,0.0,261.4,141.0,44.44,215.7,102.0,18.33,271.8,96.0,12.23,8.0,6.0,2.16,1.0,True
DE,138.0,510.0,Yes,No,0.0,46.5,104.0,7.91,186.0,114.0,15.81,167.5,95.0,7.54,9.6,4.0,2.59,4.0,False
CA,103.0,415.0,No,Yes,18.0,143.4,84.0,25.48,170.9,84.0,14.53,171.5,112.0,7.72,,7.0,3.11,0.0,True
WY,127.0,510.0,Yes,No,0.0,242.2,102.0,41.17,226.1,80.0,,252.0,96.0,11.34,,5.0,3.75,,True
OR,136.0,510.0,No,No,0.0,259.4,99.0,44.1,172.7,125.0,14.68,293.7,78.0,13.22,10.7,6.0,2.89,1.0,True
ME,99.0,415.0,No,No,0.0,222.4,102.0,37.81,185.8,89.0,14.53,237.7,81.0,10.7,12.0,,,2.0,False
AR,95.0,415.0,No,No,0.0,69.4,79.0,11.8,161.3,109.0,16.22,,102.0,9.9,8.9,5.0,2.4,0.0,
ME,118.0,408.0,Yes,Yes,21.0,156.5,122.0,26.61,209.2,125.0,17.78,158.7,81.0,,11.1,3.0,3.0,4.0,True
WV,113.0,415.0,No,No,0.0,61.2,111.0,10.4,92.3,88.0,7.85,264.1,114.0,8.88,13.7,3.0,3.7,5.0,True
PA,128.0,408.0,Yes,No,0.0,245.2,112.0,41.68,101.5,101.0,8.63,249.4,116.0,6.85,10.7,5.0,2.89,0.0,False
HI,117.0,408.0,No,No,0.0,140.1,100.0,17.39,135.2,104.0,14.96,,93.0,8.99,15.7,,4.24,3.0,False
MT,48.0,415.0,No,Yes,36.0,230.9,92.0,39.25,167.6,105.0,23.08,270.0,87.0,12.15,7.6,4.0,2.05,3.0,
DC,81.0,510.0,Yes,No,0.0,227.4,105.0,38.66,211.5,120.0,17.98,258.2,113.0,11.62,11.9,3.0,3.21,0.0,False
MS,140.0,408.0,No,No,0.0,162.6,98.0,27.64,206.2,109.0,17.53,141.6,66.0,6.37,10.6,2.0,2.21,1.0,False
OH,107.0,510.0,No,Yes,38.0,219.4,92.0,37.3,180.5,130.0,15.34,104.1,91.0,4.68,11.0,1.0,2.97,2.0,False
MO,56.0,415.0,No,No,0.0,137.2,111.0,23.32,165.9,119.0,17.9,182.3,72.0,8.2,14.3,4.0,3.86,1.0,False
TX,159.0,415.0,No,No,0.0,168.4,103.0,14.91,278.2,97.0,23.65,170.6,93.0,7.68,10.5,10.0,2.84,1.0,False
MD,102.0,415.0,No,No,0.0,271.1,80.0,46.09,172.0,133.0,14.62,169.2,105.0,7.61,,5.0,,1.0,False
SC,106.0,408.0,No,No,0.0,193.1,106.0,8.87,220.1,113.0,18.71,,95.0,5.05,11.4,2.0,3.08,2.0,False
MI,225.0,415.0,No,No,0.0,165.4,106.0,28.12,273.7,109.0,23.26,210.0,93.0,11.88,8.7,3.0,2.35,0.0,True
CO,86.0,415.0,No,No,0.0,217.8,93.0,37.03,214.7,95.0,18.25,228.7,70.0,10.29,11.3,7.0,3.05,0.0,False
ID,169.0,510.0,No,No,0.0,235.7,79.0,40.07,136.9,85.0,11.64,220.9,97.0,9.94,13.3,10.0,3.59,1.0,False
AZ,122.0,510.0,No,Yes,22.0,204.5,92.0,34.77,139.6,121.0,11.87,205.0,103.0,9.23,8.6,5.0,2.32,2.0,False
MN,52.0,415.0,No,Yes,32.0,130.1,68.0,22.12,247.2,95.0,21.01,289.4,87.0,13.02,13.5,5.0,3.65,2.0,False
DE,79.0,415.0,No,Yes,34.0,103.7,100.0,17.63,236.3,78.0,20.09,256.6,102.0,6.91,14.8,4.0,4.0,2.0,False
MI,135.0,415.0,No,No,0.0,239.9,91.0,40.78,177.1,104.0,15.05,,118.0,9.77,5.9,3.0,1.59,2.0,False
CA,37.0,415.0,No,No,0.0,145.6,69.0,32.49,129.2,113.0,10.98,207.5,117.0,9.34,12.9,1.0,3.48,0.0,False
MN,161.0,415.0,No,Yes,39.0,218.5,76.0,37.15,112.7,94.0,9.58,205.1,121.0,9.23,7.3,4.0,1.97,1.0,False
CT,123.0,415.0,No,No,0.0,128.7,126.0,21.88,117.6,94.0,,198.4,132.0,8.93,10.8,5.0,2.92,0.0,False
WV,80.0,415.0,No,Yes,38.0,236.6,69.0,40.22,197.5,68.0,16.79,209.5,102.0,9.43,9.5,10.0,2.57,2.0,True
WV,94.0,415.0,No,No,0.0,85.9,113.0,14.6,226.7,91.0,19.27,279.6,110.0,12.58,15.6,16.0,4.21,0.0,False
NE,105.0,415.0,No,Yes,0.0,141.2,96.0,24.0,167.7,94.0,14.25,274.4,101.0,12.35,11.4,2.0,3.08,1.0,False
NC,73.0,415.0,No,Yes,31.0,194.4,104.0,33.05,176.0,84.0,14.96,230.1,110.0,,11.5,3.0,3.11,0.0,False
NE,112.0,415.0,No,No,0.0,167.6,100.0,28.49,154.5,90.0,13.13,281.4,107.0,12.66,17.3,3.0,4.67,2.0,
IL,179.0,408.0,No,No,0.0,234.5,134.0,39.87,164.2,94.0,13.96,191.4,72.0,8.61,6.1,4.0,1.65,1.0,False
MA,57.0,510.0,No,No,0.0,154.2,115.0,26.21,196.7,85.0,,253.5,97.0,11.41,10.1,9.0,2.73,1.0,False
AZ,127.0,415.0,No,Yes,14.0,143.2,99.0,24.34,169.9,91.0,14.44,221.6,77.0,9.97,11.6,1.0,3.13,1.0,False
SD,122.0,,Yes,Yes,40.0,216.4,80.0,36.79,249.7,90.0,21.22,185.9,99.0,8.37,12.7,4.0,3.43,1.0,
MT,33.0,510.0,No,Yes,,161.9,85.0,27.52,151.2,82.0,12.85,219.3,131.0,8.59,8.5,2.0,,1.0,False
VT,94.0,408.0,No,No,0.0,118.7,90.0,20.18,205.1,57.0,,172.2,100.0,,10.4,6.0,2.81,3.0,False
UT,100.0,408.0,No,No,0.0,179.1,123.0,30.45,196.6,132.0,16.71,186.7,116.0,,10.2,10.0,2.75,1.0,False
HI,106.0,415.0,No,No,0.0,147.9,97.0,25.14,209.3,99.0,17.79,162.1,80.0,8.75,8.8,5.0,2.38,2.0,False
DC,148.0,415.0,No,Yes,0.0,209.2,110.0,35.56,116.6,73.0,9.91,109.6,105.0,4.93,16.5,4.0,4.46,2.0,False
WI,120.0,415.0,No,Yes,29.0,244.3,140.0,41.53,322.3,89.0,27.4,166.8,91.0,7.51,10.6,6.0,2.86,0.0,False
UT,91.0,415.0,No,Yes,34.0,175.3,96.0,29.8,262.3,122.0,22.3,143.9,76.0,6.48,5.6,11.0,1.51,1.0,False
WA,86.0,510.0,No,No,0.0,150.5,92.0,25.59,120.3,95.0,10.23,99.0,96.0,12.2,9.0,3.0,2.43,1.0,
SD,78.0,415.0,No,Yes,25.0,197.4,73.0,33.56,295.7,113.0,25.13,211.7,73.0,9.53,13.2,2.0,3.56,0.0,
MT,112.0,510.0,No,No,,163.5,136.0,27.8,143.7,111.0,12.21,253.4,82.0,11.4,12.6,5.0,3.4,1.0,False
NJ,85.0,415.0,No,No,0.0,236.9,93.0,40.27,197.7,113.0,16.8,309.1,78.0,13.91,11.4,7.0,3.08,2.0,True
CT,95.0,415.0,No,No,0.0,138.3,77.0,13.99,167.2,80.0,14.21,194.7,70.0,8.76,7.2,4.0,1.94,1.0,False
VA,128.0,415.0,No,No,0.0,216.0,111.0,,153.7,115.0,17.44,227.0,74.0,10.22,12.7,4.0,3.43,1.0,False
NC,115.0,415.0,Yes,No,0.0,180.0,119.0,30.6,198.8,126.0,16.9,217.1,70.0,9.77,12.4,3.0,3.35,1.0,
AK,76.0,415.0,No,No,0.0,143.7,55.0,24.43,173.1,,14.71,239.1,95.0,10.76,5.8,6.0,1.57,1.0,False
MD,75.0,415.0,No,Yes,39.0,198.2,107.0,33.69,280.4,132.0,,129.6,73.0,5.83,11.3,7.0,3.05,1.0,False
ND,82.0,415.0,No,Yes,29.0,,77.0,27.85,134.9,112.0,11.47,79.3,95.0,3.57,8.8,2.0,2.38,2.0,False
IN,87.0,510.0,No,No,,189.5,113.0,32.22,204.9,113.0,17.42,221.7,93.0,9.98,13.4,3.0,3.62,1.0,False
MI,115.0,415.0,No,Yes,26.0,155.2,110.0,26.38,230.9,,19.63,261.6,100.0,11.77,4.5,4.0,1.22,0.0,False
AR,99.0,510.0,Yes,No,0.0,193.0,102.0,41.19,350.9,133.0,29.83,163.1,93.0,7.34,11.3,3.0,3.05,0.0,True
VT,121.0,415.0,Yes,Yes,44.0,254.1,,43.2,180.2,108.0,15.32,196.2,129.0,8.83,8.7,4.0,2.35,3.0,False
WV,54.0,510.0,No,Yes,33.0,112.0,90.0,19.04,208.0,112.0,17.68,150.3,83.0,6.76,11.3,4.0,3.05,2.0,False
CT,95.0,415.0,No,No,0.0,198.4,113.0,33.73,235.9,144.0,20.05,325.6,99.0,14.65,10.1,3.0,2.73,0.0,False
OR,163.0,408.0,No,Yes,25.0,219.6,99.0,37.33,210.4,99.0,17.88,242.7,88.0,10.92,13.8,8.0,3.73,2.0,False
VT,57.0,415.0,No,No,0.0,169.6,96.0,28.83,234.7,84.0,19.95,285.4,83.0,12.84,11.2,4.0,3.02,0.0,False
RI,104.0,408.0,Yes,No,0.0,160.4,73.0,27.27,293.9,103.0,24.98,306.6,90.0,13.8,12.6,5.0,3.4,4.0,False
RI,83.0,415.0,No,Yes,20.0,,89.0,29.5,167.9,92.0,14.27,,79.0,9.03,11.2,2.0,3.02,0.0,False
NM,141.0,415.0,No,No,0.0,160.1,87.0,27.22,256.7,120.0,21.82,,107.0,12.15,7.0,1.0,1.89,2.0,False
AL,95.0,415.0,No,No,0.0,194.6,114.0,33.08,232.8,106.0,,173.4,92.0,7.8,3.8,2.0,1.03,3.0,False
MT,184.0,415.0,No,No,0.0,236.4,73.0,40.19,287.3,120.0,24.42,,94.0,8.64,13.8,4.0,3.73,1.0,True
CT,74.0,408.0,No,No,0.0,157.1,95.0,26.71,213.1,36.0,18.11,280.4,77.0,12.62,7.6,3.0,2.05,2.0,False
TN,,415.0,No,No,0.0,179.8,125.0,30.57,,86.0,,272.8,97.0,12.28,7.4,4.0,2.94,,False
ID,,415.0,Yes,No,,148.2,108.0,25.19,134.1,113.0,13.75,259.3,103.0,11.67,11.0,3.0,2.97,0.0,False
NH,149.0,415.0,No,No,0.0,119.2,88.0,20.26,168.3,110.0,14.31,204.7,119.0,9.21,12.2,6.0,3.29,4.0,True
ND,154.0,408.0,No,Yes,35.0,224.0,102.0,38.08,192.0,99.0,16.32,163.1,100.0,7.34,9.6,2.0,,0.0,False
SC,138.0,,No,Yes,0.0,19.5,102.0,3.32,140.9,109.0,22.3,179.7,111.0,8.09,7.9,1.0,2.13,0.0,False
KS,117.0,415.0,No,No,0.0,184.8,83.0,31.42,248.6,101.0,21.13,133.1,113.0,5.99,9.6,8.0,2.59,,False
ME,130.0,408.0,No,No,0.0,,140.0,29.97,201.0,104.0,17.09,161.9,123.0,7.29,11.3,5.0,3.05,1.0,False
RI,73.0,415.0,No,No,0.0,241.7,115.0,41.09,168.5,133.0,14.32,169.8,122.0,7.64,11.1,2.0,3.0,2.0,False
WI,100.0,510.0,No,Yes,38.0,224.7,121.0,38.2,294.0,131.0,24.99,290.0,61.0,13.05,9.8,6.0,2.65,0.0,False
NC,149.0,510.0,No,No,0.0,207.3,115.0,35.24,198.4,82.0,16.86,,83.0,5.13,8.6,4.0,2.32,1.0,False
OH,29.0,408.0,No,No,0.0,196.8,81.0,33.46,168.0,115.0,9.61,132.6,98.0,5.97,12.7,7.0,3.43,2.0,False
WY,131.0,510.0,No,No,0.0,110.9,74.0,18.85,115.6,141.0,9.83,190.5,114.0,8.57,15.8,9.0,4.27,1.0,False
NJ,153.0,510.0,No,No,0.0,122.5,145.0,47.52,273.3,103.0,23.23,197.8,71.0,8.9,8.0,3.0,2.16,2.0,False
ND,84.0,510.0,No,No,,226.9,144.0,38.57,201.6,108.0,17.14,130.2,121.0,5.86,,5.0,3.56,2.0,False
WI,133.0,510.0,No,No,0.0,,101.0,31.79,141.4,128.0,12.02,238.2,108.0,9.78,10.0,8.0,,2.0,
NY,87.0,415.0,No,No,0.0,204.8,101.0,34.82,161.0,80.0,13.69,285.7,89.0,12.86,9.5,3.0,,0.0,False
MO,72.0,415.0,No,No,0.0,165.9,61.0,28.2,177.9,97.0,20.05,210.1,120.0,9.45,12.0,5.0,3.24,2.0,False
MN,65.0,510.0,No,Yes,32.0,175.6,104.0,26.88,322.2,81.0,27.39,210.0,96.0,9.45,8.9,6.0,2.4,1.0,False
CO,74.0,415.0,No,No,0.0,225.2,93.0,38.28,215.1,120.0,18.28,154.5,95.0,10.88,,2.0,2.46,2.0,False
MD,116.0,415.0,No,No,0.0,159.4,79.0,27.1,179.5,88.0,15.26,167.8,71.0,7.55,9.7,2.0,2.62,6.0,True
AR,68.0,510.0,No,No,0.0,172.7,95.0,29.36,139.1,90.0,11.82,174.3,99.0,7.84,11.7,1.0,3.16,2.0,False
TN,68.0,415.0,No,No,0.0,222.8,99.0,37.88,175.8,85.0,14.94,202.0,111.0,9.09,11.0,3.0,2.97,3.0,False
DE,54.0,415.0,Yes,No,0.0,214.1,77.0,36.4,240.5,94.0,20.44,188.9,75.0,8.5,10.1,3.0,2.73,1.0,False
WI,147.0,,No,No,0.0,134.0,104.0,22.78,174.5,94.0,13.69,,79.0,14.0,7.3,3.0,1.97,3.0,False
MN,173.0,510.0,No,No,0.0,291.8,143.0,49.61,214.3,134.0,18.22,184.9,119.0,6.8,9.9,2.0,2.67,0.0,True
MO,110.0,408.0,No,No,0.0,222.7,94.0,37.86,105.8,98.0,8.99,214.8,78.0,9.67,13.5,4.0,3.65,,False
VA,102.0,510.0,No,No,0.0,174.5,79.0,29.67,236.8,136.0,20.13,270.4,110.0,12.17,8.5,5.0,2.3,0.0,False
OK,91.0,408.0,No,Yes,31.0,273.0,78.0,46.41,215.5,98.0,18.32,104.7,114.0,4.71,9.6,2.0,2.59,1.0,False
CT,64.0,415.0,Yes,No,0.0,225.3,134.0,38.3,108.2,87.0,9.2,139.6,132.0,6.28,17.3,9.0,4.67,1.0,
TN,176.0,415.0,No,Yes,23.0,283.2,130.0,48.14,162.6,74.0,13.82,177.7,77.0,8.0,7.2,6.0,1.94,1.0,False
WI,57.0,510.0,No,Yes,0.0,89.7,87.0,15.25,138.6,73.0,11.78,165.8,114.0,7.46,10.7,2.0,2.89,1.0,False
SD,138.0,510.0,No,No,0.0,127.1,,21.61,247.7,71.0,21.05,207.7,75.0,9.35,5.0,3.0,1.35,3.0,False
ND,101.0,415.0,No,Yes,28.0,105.9,132.0,18.0,231.7,107.0,19.69,281.3,120.0,12.66,10.7,5.0,2.89,1.0,False
VA,136.0,408.0,No,No,0.0,142.3,79.0,24.19,158.0,113.0,13.43,177.5,75.0,7.99,6.0,11.0,1.62,2.0,False
UT,111.0,510.0,No,No,0.0,191.3,80.0,32.52,138.5,94.0,11.77,246.0,107.0,11.07,6.4,3.0,1.73,2.0,False
MA,132.0,408.0,No,Yes,36.0,201.9,93.0,34.32,156.3,75.0,,131.3,92.0,5.91,13.7,5.0,3.7,0.0,False
SD,128.0,415.0,No,No,0.0,247.3,91.0,22.75,182.7,60.0,15.53,143.2,112.0,6.44,,2.0,3.97,3.0,False
AL,92.0,,No,Yes,38.0,242.2,96.0,41.17,262.0,144.0,13.57,210.0,108.0,9.45,8.9,1.0,,1.0,False
AL,197.0,415.0,Yes,No,0.0,127.3,80.0,21.64,222.3,115.0,18.9,173.9,95.0,7.83,13.7,5.0,3.7,5.0,True
SC,99.0,415.0,No,Yes,33.0,179.1,93.0,30.45,238.3,102.0,13.15,,96.0,7.46,,1.0,2.86,2.0,False
FL,106.0,415.0,No,Yes,31.0,197.4,125.0,33.56,123.4,110.0,10.49,115.6,101.0,5.2,12.3,4.0,3.32,3.0,False
UT,78.0,415.0,No,No,0.0,193.1,85.0,32.83,172.1,105.0,14.63,129.6,119.0,5.83,,1.0,2.75,0.0,False
NY,98.0,408.0,No,No,0.0,171.7,106.0,29.19,174.8,87.0,14.86,189.6,130.0,8.53,7.8,6.0,2.11,1.0,False
MS,17.0,408.0,No,Yes,35.0,198.5,123.0,33.75,270.6,74.0,23.0,209.9,130.0,9.45,8.1,10.0,2.19,1.0,False
NH,56.0,415.0,No,Yes,24.0,121.7,87.0,20.69,184.0,76.0,15.64,266.6,98.0,12.0,12.7,3.0,3.43,1.0,False
VA,84.0,415.0,No,No,0.0,130.2,105.0,22.13,,60.0,,,74.0,13.74,14.0,6.0,3.78,2.0,False
VT,95.0,510.0,No,No,0.0,203.4,96.0,34.58,168.6,61.0,11.86,173.0,105.0,7.79,,3.0,3.7,2.0,False
NV,76.0,510.0,Yes,No,0.0,241.0,120.0,40.97,231.8,96.0,12.88,220.2,67.0,9.91,9.9,1.0,2.67,1.0,True
WV,93.0,415.0,No,No,0.0,141.7,95.0,24.09,221.0,100.0,18.79,227.1,71.0,10.22,10.2,3.0,,0.0,False
WA,83.0,408.0,No,No,0.0,134.8,96.0,22.92,173.6,78.0,14.21,247.8,123.0,7.27,7.7,5.0,2.08,2.0,False
KS,123.0,415.0,No,No,0.0,163.1,119.0,27.73,328.7,51.0,21.2,168.2,77.0,7.57,9.0,10.0,2.43,1.0,False
VT,64.0,408.0,No,No,0.0,145.5,116.0,24.74,228.4,110.0,19.41,273.4,91.0,12.3,8.9,8.0,2.4,1.0,False
OK,82.0,510.0,No,No,0.0,329.8,73.0,56.07,208.3,120.0,17.71,267.1,102.0,,10.6,6.0,2.86,0.0,False
CO,,510.0,No,No,0.0,131.9,93.0,22.42,272.7,106.0,,189.6,105.0,8.68,7.1,4.0,1.92,1.0,False
TN,47.0,415.0,No,Yes,30.0,196.6,93.0,33.42,241.4,140.0,20.52,226.0,118.0,10.17,12.9,4.0,3.48,2.0,False
KY,115.0,510.0,No,No,0.0,62.8,107.0,16.95,145.1,96.0,12.33,152.1,99.0,6.72,14.1,4.0,3.81,,False
PA,69.0,415.0,No,No,0.0,143.6,88.0,24.41,141.8,91.0,12.05,194.0,83.0,8.73,10.8,5.0,2.92,3.0,False
CT,90.0,,No,No,0.0,37.8,61.0,6.43,155.3,105.0,13.2,175.0,111.0,7.88,14.2,5.0,3.83,3.0,False
MN,98.0,415.0,No,No,0.0,72.8,107.0,12.38,186.4,103.0,15.84,175.3,110.0,,10.5,4.0,2.84,3.0,False
WY,90.0,408.0,No,Yes,39.0,94.8,89.0,16.12,219.1,91.0,18.62,197.4,65.0,8.88,11.4,,3.08,1.0,False
PA,123.0,415.0,No,Yes,15.0,221.8,143.0,37.71,210.6,70.0,17.9,221.8,109.0,9.98,12.4,9.0,3.35,1.0,False
PA,79.0,415.0,No,No,0.0,268.3,114.0,45.61,185.5,111.0,19.07,264.6,88.0,11.91,6.3,7.0,1.7,1.0,True
VT,99.0,415.0,No,No,0.0,115.5,75.0,19.64,218.1,111.0,18.54,254.9,98.0,11.47,11.5,7.0,3.11,7.0,True
ID,114.0,415.0,No,No,0.0,202.1,100.0,34.36,195.7,102.0,16.63,291.8,120.0,13.13,13.3,5.0,3.59,2.0,False
PA,141.0,510.0,No,No,0.0,215.6,113.0,36.65,200.6,81.0,17.05,153.8,107.0,6.92,12.4,6.0,3.35,1.0,True
NM,132.0,408.0,No,No,,169.9,107.0,28.88,209.4,121.0,17.8,206.1,79.0,9.27,11.5,2.0,3.43,1.0,False
FL,133.0,510.0,No,No,0.0,152.8,85.0,34.29,169.4,116.0,14.4,286.3,80.0,12.88,6.0,4.0,1.62,0.0,False
TX,133.0,408.0,No,No,0.0,221.1,133.0,37.59,160.2,140.0,16.52,161.8,84.0,7.28,8.4,3.0,2.27,4.0,False
VT,93.0,510.0,No,Yes,32.0,218.7,45.0,37.18,115.0,61.0,9.78,192.7,85.0,8.67,9.4,5.0,2.54,2.0,False
OR,140.0,415.0,No,No,0.0,120.3,108.0,20.45,240.4,84.0,20.43,216.4,74.0,9.74,7.7,3.0,2.08,4.0,True
FL,144.0,510.0,No,No,0.0,278.5,95.0,47.35,240.7,90.0,20.46,120.0,90.0,5.4,11.6,5.0,3.13,1.0,True
ID,24.0,408.0,No,Yes,,236.3,105.0,40.17,190.8,114.0,16.22,,105.0,5.81,7.2,2.0,1.94,3.0,False
MD,54.0,415.0,No,No,0.0,273.8,113.0,46.55,119.6,156.0,10.17,267.6,117.0,12.04,11.7,3.0,3.16,1.0,False
WV,50.0,408.0,No,No,0.0,131.1,129.0,22.29,160.5,94.0,,206.9,88.0,,5.6,9.0,1.51,5.0,True
ID,92.0,415.0,No,Yes,23.0,167.4,83.0,28.46,258.6,129.0,21.98,116.4,,5.24,11.2,3.0,3.02,4.0,
NV,96.0,408.0,No,No,0.0,197.7,68.0,33.61,250.5,53.0,21.29,,67.0,8.15,10.5,3.0,2.84,3.0,False
SC,102.0,408.0,No,No,0.0,174.5,73.0,29.67,213.7,114.0,18.16,164.7,116.0,8.04,10.3,5.0,2.78,4.0,False
NE,99.0,415.0,No,No,0.0,200.0,66.0,34.0,107.9,104.0,9.17,233.7,82.0,,11.4,2.0,3.08,3.0,False
ME,36.0,510.0,No,Yes,25.0,152.8,110.0,25.98,242.8,67.0,20.64,147.4,74.0,6.63,9.1,2.0,2.46,1.0,False
MI,70.0,510.0,No,No,0.0,129.9,102.0,22.08,208.7,133.0,17.74,231.4,93.0,10.41,14.3,5.0,3.86,1.0,False
AZ,109.0,415.0,Yes,No,0.0,268.4,85.0,45.63,150.6,105.0,12.8,297.9,84.0,13.41,,8.0,2.62,2.0,True
AZ,100.0,415.0,No,No,0.0,188.5,152.0,32.05,250.7,115.0,12.61,179.8,88.0,8.09,15.2,,4.1,,False
MA,80.0,510.0,No,No,0.0,149.8,123.0,25.47,276.3,75.0,23.49,241.4,75.0,,10.9,7.0,2.94,2.0,False
SC,100.0,510.0,No,No,0.0,115.9,87.0,19.7,111.3,,,170.2,77.0,7.66,7.1,4.0,1.92,1.0,False
WV,50.0,510.0,No,No,0.0,,108.0,22.39,,103.0,18.4,196.1,126.0,8.82,11.0,5.0,2.97,1.0,False
MS,105.0,415.0,No,No,0.0,101.4,48.0,17.24,159.1,119.0,13.52,259.2,53.0,11.66,12.2,2.0,3.29,1.0,False
VA,113.0,415.0,No,Yes,23.0,149.0,104.0,25.33,235.8,67.0,20.04,201.8,76.0,,9.5,5.0,2.57,4.0,False
MS,111.0,415.0,No,Yes,36.0,96.8,123.0,16.46,170.6,105.0,14.5,166.0,85.0,7.47,13.4,4.0,3.62,2.0,False
NM,161.0,408.0,No,No,0.0,107.5,121.0,,256.4,103.0,21.79,247.2,131.0,11.12,12.6,3.0,3.4,2.0,False
TX,70.0,415.0,No,No,0.0,232.8,86.0,39.58,303.4,111.0,25.79,255.6,104.0,12.58,12.9,7.0,3.48,0.0,True
HI,97.0,415.0,No,Yes,43.0,121.1,105.0,20.59,260.2,115.0,22.12,222.4,100.0,10.01,8.3,5.0,2.24,3.0,
WA,130.0,415.0,No,No,0.0,124.3,70.0,21.13,270.7,99.0,23.01,239.5,83.0,10.78,3.5,6.0,0.95,0.0,False
WI,92.0,415.0,No,No,0.0,157.7,101.0,26.81,298.6,100.0,25.38,216.9,99.0,9.76,13.8,3.0,3.73,1.0,False
CO,119.0,408.0,No,No,0.0,124.3,68.0,21.13,207.1,,17.6,157.4,93.0,7.08,14.8,1.0,4.0,0.0,False
NV,115.0,415.0,No,No,0.0,286.4,125.0,,205.7,74.0,17.48,191.4,141.0,,6.9,6.0,1.86,1.0,True
VA,127.0,408.0,No,Yes,25.0,173.0,91.0,29.41,245.8,64.0,20.89,300.0,99.0,13.5,4.8,3.0,1.3,0.0,False
ND,153.0,415.0,No,Yes,31.0,218.5,130.0,37.15,134.2,103.0,11.41,118.9,105.0,5.35,9.4,6.0,2.54,0.0,False
HI,79.0,415.0,No,No,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55.0,10.71,11.4,5.0,3.08,1.0,False
ND,35.0,415.0,No,No,0.0,,87.0,44.34,258.1,78.0,21.94,131.3,123.0,5.91,5.8,2.0,1.57,1.0,False
MN,68.0,510.0,No,No,0.0,226.7,94.0,38.54,168.4,129.0,14.31,188.7,117.0,8.49,10.2,1.0,2.75,0.0,False
DC,60.0,408.0,No,No,0.0,179.3,147.0,30.48,208.9,89.0,,248.2,98.0,11.17,13.5,6.0,3.65,1.0,True
MT,71.0,510.0,No,Yes,23.0,175.7,82.0,29.87,258.9,136.0,12.91,,154.0,12.08,,7.0,3.81,1.0,False
WV,124.0,415.0,No,No,0.0,157.4,107.0,26.76,167.8,112.0,14.26,188.8,102.0,8.5,8.8,3.0,2.38,3.0,False
ME,23.0,510.0,No,No,0.0,113.1,74.0,19.23,168.8,95.0,14.35,262.9,126.0,11.83,6.9,2.0,1.86,1.0,True
WY,225.0,415.0,No,No,,214.6,,31.06,246.5,63.0,20.95,218.0,103.0,9.81,8.8,2.0,2.38,,False
NY,181.0,415.0,Yes,No,0.0,161.3,83.0,27.42,124.4,83.0,,,98.0,11.79,14.1,,,0.0,True
VT,63.0,415.0,No,No,0.0,142.5,92.0,24.23,208.3,102.0,,228.9,120.0,10.3,7.5,2.0,2.03,,False
NC,54.0,415.0,Yes,No,0.0,190.5,108.0,32.39,259.7,91.0,22.07,141.5,111.0,6.37,9.7,2.0,2.62,2.0,False
MO,80.0,408.0,Yes,Yes,15.0,159.3,110.0,27.08,170.6,120.0,14.5,141.2,82.0,6.35,,5.0,3.21,1.0,False
NC,118.0,408.0,Yes,Yes,39.0,153.8,106.0,26.15,123.3,111.0,19.52,117.8,103.0,5.3,9.2,6.0,,1.0,False
NJ,42.0,408.0,Yes,No,0.0,180.7,127.0,30.72,174.6,94.0,14.84,165.3,114.0,7.44,12.0,6.0,3.24,2.0,False
OH,134.0,408.0,No,No,0.0,202.7,55.0,34.46,224.9,90.0,19.12,253.9,108.0,11.43,12.1,7.0,3.27,0.0,False
TX,108.0,415.0,No,Yes,35.0,190.8,133.0,32.44,261.3,93.0,20.37,,108.0,9.43,8.9,6.0,2.4,0.0,False
